X,Y,month,day,temp,RH,wind,rain,area
3,4,jul,wed,14.2,58,4,0,0
3,4,mar,fri,18.8,18,4.5,0,0
3,4,mar,mon,10.6,30,4,0,0
3,4,mar,sat,17.4,24,5.4,0,0
3,4,mar,sat,11.6,30,6.3,0,0
3,4,mar,sat,15.2,27,4.9,0,0
3,4,mar,tue,15.8,27,7.6,0,0
3,4,mar,wed,8.9,35,8,0,0
3,4,mar,wed,11.2,41,5.4,0,5.55
3,4,oct,sun,20.6,24,5.4,0,0
3,4,sep,fri,19.8,50,5.4,0,0
3,4,sep,fri,18.6,49,3.6,0,35.88
3,4,sep,fri,17.4,57,4.5,0,0
3,4,sep,mon,18.9,35,2.7,0,0
3,4,sep,sun,22.8,39,3.6,0,0
3,4,sep,sun,22.5,42,5.4,0,0
3,4,sep,sun,23.8,35,3.6,0,5.18
3,4,sep,sun,20.6,55,5.4,0,24.59
3,4,sep,thu,22.8,46,4,0,4.95
3,4,sep,tue,17.9,45,3.1,0,0
3,4,sep,tue,13.9,59,6.3,0,11.24
3,4,sep,wed,18.5,30,2.7,0,0
3,5,aug,sat,17.6,52,5.8,0,0
3,5,mar,mon,9,49,2.2,0,0
3,5,mar,tue,15.5,27,6.3,0,0
3,5,mar,tue,14.9,38,2.7,0,0
3,5,oct,wed,15.9,46,3.6,0,0
3,5,sep,fri,17.2,43,3.1,0,0
3,5,sep,thu,12.9,39,2.7,0,2.18
3,6,jun,fri,19.2,38,4.5,0,0
3,6,jun,fri,19.2,38,4.5,0,0
3,6,sep,mon,15.6,66,3.1,0,0
3,6,sep,sun,17.2,58,1.3,0,0
4,3,aug,sat,21.4,44,2.7,0,0.68
4,3,aug,sun,21.5,34,2.2,0,0
4,3,aug,sun,27.8,32,2.7,0,6.44
4,3,aug,thu,17.6,45,3.6,0,0
4,3,aug,wed,20.4,42,4.9,0,0
4,3,aug,wed,20.4,42,4.9,0,0
4,3,aug,wed,28.9,29,4.9,0,49.59
4,3,jul,sun,26.1,45,4,0,7.36
4,3,jul,thu,27.2,28,1.3,0,1.76
4,3,jul,thu,30.2,22,4.9,0,0
4,3,jun,thu,26.4,35,2.7,0,10.08
4,3,mar,mon,11,46,5.8,0,36.85
4,3,may,fri,18,40,4,0,38.48
4,3,oct,sun,13.8,50,2.7,0,0
4,3,sep,fri,17.3,45,4,0,3.94
4,3,sep,fri,19.9,44,3.1,0,7.8
4,3,sep,mon,9.8,86,1.8,0,0
4,3,sep,sat,23.5,27,4,0,3.33
4,3,sep,sun,20.4,55,4.9,0,3.64
4,3,sep,thu,27.7,24,2.2,0,0
4,3,sep,tue,17.8,63,4.9,0,0
4,3,sep,tue,15.9,53,2.2,0,2.93
4,4,apr,fri,16.7,20,3.1,0,0
4,4,aug,fri,21.8,53,3.1,0,6.54
4,4,aug,sat,18.4,42,6.7,0,0
4,4,aug,thu,32.4,21,4.5,0,0
4,4,aug,tue,16.6,54,5.4,0,0
4,4,aug,tue,22.1,54,7.6,0,0.79
4,4,aug,tue,19.1,53,2.7,0,4.4
4,4,aug,tue,19.4,71,7.6,0,46.7
4,4,aug,tue,20.7,69,4.9,0.4,0
4,4,aug,wed,20.6,58,1.3,0,0
4,4,aug,wed,28.7,33,4,0,0
4,4,dec,mon,4.6,21,8.5,0,17.85
4,4,dec,mon,4.6,21,8.5,0,22.03
4,4,dec,mon,4.6,21,8.5,0,9.77
4,4,jul,tue,23.3,37,3.1,0,0
4,4,mar,fri,13.7,43,5.8,0,0
4,4,mar,mon,11.8,35,1.8,0,0
4,4,mar,mon,11,46,5.8,0,0
4,4,mar,sat,17,27,4.9,0,28.66
4,4,mar,sat,17,27,4.9,0,28.66
4,4,mar,tue,14.1,43,2.7,0,0
4,4,oct,sat,18.4,25,3.1,0,24.23
4,4,sep,fri,15.4,53,6.3,0,7.31
4,4,sep,fri,20.8,35,4.9,0,13.06
4,4,sep,fri,20.8,35,4.9,0,1.26
4,4,sep,mon,17.7,39,2.2,0,3.07
4,4,sep,sat,19.6,48,2.7,0,0
4,4,sep,sat,17.1,41,2.2,0,11.22
4,4,sep,sun,17.8,64,1.3,0,0
4,4,sep,sun,16.9,60,1.3,0,29.48
4,4,sep,sun,22.9,39,4.9,0,48.55
4,4,sep,thu,20.8,17,1.3,0,0
4,4,sep,thu,19.2,24,4.9,0,3.78
4,4,sep,wed,12.9,74,4.9,0,0
4,4,sep,wed,26.4,21,4.5,0,88.49
4,4,sep,wed,19.7,41,1.8,0,1.58
4,5,aug,mon,32.6,26,3.1,0,2.77
4,5,aug,sun,21.4,33,3.1,0,0
4,5,aug,sun,10.4,75,0.9,0,0
4,5,aug,thu,17.4,54,3.1,0,0
4,5,aug,wed,23.4,49,5.4,0,6.43
4,5,feb,sat,14.2,46,4,0,0
4,5,feb,sun,10.1,62,1.8,0,51.78
4,5,jan,sun,5.2,100,0.9,0,0
4,5,jul,fri,22.9,40,1.3,0,2.64
4,5,mar,fri,17.2,26,4.5,0,0
4,5,mar,fri,15.8,27,7.6,0,0
4,5,mar,fri,12.7,52,6.3,0,0
4,5,mar,thu,18.2,29,3.1,0,0
4,5,sep,fri,17.7,37,3.6,0,0
4,5,sep,mon,17.4,56,5.4,0,0
4,5,sep,sat,20.3,45,3.1,0,0
4,5,sep,sat,17.7,25,3.1,0,154.88
4,5,sep,sun,13.8,77,7.6,0,0
4,5,sep,thu,21.5,15,0.9,0,11.06
4,5,sep,thu,22.1,34,1.8,0,14.57
4,5,sep,thu,18.6,24,5.8,0,0
4,5,sep,tue,15.9,38,5.4,0,1.75
4,5,sep,tue,16.4,27,3.6,0,0
4,5,sep,wed,24.3,25,4,0,9.41
4,5,sep,wed,19.4,19,1.3,0,31.72
4,6,dec,fri,2.2,59,4.9,0,9.27
4,6,dec,sun,4.8,57,8.5,0,8.98
4,6,dec,thu,5.1,61,4.9,0,5.38
4,6,feb,sat,15.4,40,2.7,0,0
4,6,mar,mon,14,39,3.1,0,0
4,6,mar,sun,10.6,46,4.9,0,0
4,6,sep,sun,28.3,26,3.1,0,64.1
4,6,sep,thu,17.6,42,3.1,0,0
5,4,apr,sun,17.6,27,5.8,0,0
5,4,aug,fri,21.1,71,7.6,1.4,2.17
5,4,aug,sun,25.7,39,5.4,0,0.09
5,4,aug,sun,24.1,50,4,0,0
5,4,aug,thu,20.3,42,2.7,0,0
5,4,aug,tue,17.3,43,4.5,0,0
5,4,aug,tue,24.1,43,6.3,0,2
5,4,aug,tue,26.4,34,3.6,0,16.4
5,4,feb,fri,7.5,46,8,0,24.24
5,4,feb,sun,12.4,53,2.2,0,6.38
5,4,jul,wed,19.3,39,7.2,0,7.73
5,4,mar,fri,15.6,25,6.3,0,0
5,4,mar,mon,13.2,40,5.4,0,0.95
5,4,sep,fri,27.6,30,1.3,0,0
5,4,sep,fri,20.1,47,4.9,0,1.46
5,4,sep,fri,10.1,75,3.6,0,0
5,4,sep,fri,12.8,64,3.6,0,1.64
5,4,sep,fri,10.1,75,3.6,0,3.71
5,4,sep,fri,16.2,58,3.6,0,0
5,4,sep,mon,19.1,38,2.7,0,0
5,4,sep,sat,24.1,27,3.1,0,0
5,4,sep,thu,21.6,28,6.3,0,4.41
5,4,sep,wed,21.9,35,1.8,0,2.57
5,5,aug,sun,17.3,80,4.5,0,0
5,5,mar,sat,15.1,27,5.4,0,0
5,5,mar,thu,11.6,48,5.4,0,0
5,6,aug,sun,24.3,33,3.6,0,3.63
5,6,mar,sat,15.1,64,4,0,13.99
5,6,sep,mon,14.7,70,3.6,0,0
5,6,sep,wed,25.9,24,4,0,0
6,3,apr,sun,13.7,33,9.4,0,61.13
6,3,apr,wed,15.2,51,2.7,0,0
6,3,aug,fri,19.3,39,3.6,0,1.56
6,3,aug,thu,18.9,41,3.1,0,10.34
6,3,feb,fri,14.7,42,2.7,0,0
6,3,feb,sun,4.2,51,4,0,0
6,3,jul,tue,26.3,39,3.1,0,7.02
6,3,mar,sat,15.2,31,8.5,0,1.94
6,3,nov,tue,11.8,31,4.5,0,0
6,3,oct,tue,21.7,24,4.5,0,0
6,3,sep,fri,25.4,24,3.6,0,0
6,3,sep,fri,20.6,37,1.8,0,0
6,3,sep,fri,15.9,55,3.6,0,0
6,3,sep,fri,19.7,39,2.7,0,0
6,3,sep,mon,11.2,78,7.6,0,0
6,3,sep,mon,21.2,32,2.7,0,0
6,3,sep,mon,23,34,2.2,0,56.04
6,3,sep,mon,20.6,37,1.8,0,0
6,3,sep,mon,12.2,66,4.9,0,6.1
6,3,sep,sat,30.2,24,2.7,0,0
6,3,sep,sun,22.8,39,3.6,0,0
6,3,sep,sun,17.7,39,3.6,0,0
6,3,sep,sun,24.8,28,1.8,0,14.29
6,3,sep,thu,18.9,34,7.2,0,34.36
6,3,sep,tue,18.2,62,4.5,0,0
6,4,apr,sat,9.3,44,4.5,0,0
6,4,aug,fri,23.3,34,3.1,0,28.74
6,4,aug,thu,20.3,41,4,0,1.9
6,4,feb,tue,5.1,77,5.4,0,2.14
6,4,jun,sun,14.3,46,1.8,0,0.9
6,4,mar,sat,13.3,42,0.9,0,7.4
6,4,mar,wed,15.9,35,4,0,0
6,4,sep,tue,18.3,40,2.7,0,0
6,4,sep,tue,18.7,43,2.7,0,103.39
6,5,apr,mon,10.9,64,3.1,0,3.35
6,5,apr,thu,5.8,54,5.8,0,4.61
6,5,apr,thu,5.8,54,5.8,0,10.93
6,5,aug,fri,17,72,6.7,0,0
6,5,aug,fri,18.2,62,5.4,0,0.43
6,5,aug,sat,14.7,59,5.8,0,0
6,5,aug,sun,19.1,70,2.2,0,0
6,5,aug,thu,27.4,22,4,0,0.9
6,5,aug,tue,19.4,55,4,0,0.17
6,5,aug,tue,33.3,26,2.7,0,40.54
6,5,aug,wed,16.6,47,0.9,0,2.29
6,5,aug,wed,23.4,33,4.5,0,2.51
6,5,aug,wed,22.1,37,3.6,0,0.21
6,5,dec,tue,5.1,24,8.5,0,24.77
6,5,feb,mon,5.3,68,1.8,0,0
6,5,feb,tue,4.6,82,6.3,0,5.39
6,5,jun,fri,23.2,39,5.4,0,1.19
6,5,jun,mon,20.7,25,4.9,0,0
6,5,jun,mon,19.1,39,5.4,0,3.52
6,5,jun,sat,10.6,90,2.7,0,0
6,5,mar,fri,14.6,26,9.4,0,2.53
6,5,mar,fri,11.7,33,4,0,8.31
6,5,mar,mon,15.2,27,3.1,0,31.86
6,5,mar,mon,10.2,45,5.8,0,3.18
6,5,mar,sat,17.4,25,4.9,0,0
6,5,mar,sun,12.4,54,3.6,0,12.1
6,5,mar,thu,5.3,70,4.5,0,2.14
6,5,mar,thu,8.7,51,5.8,0,0
6,5,mar,thu,13.3,27,3.6,0,6.61
6,5,mar,wed,13.8,24,5.8,0,0
6,5,may,sat,11.3,94,4.9,0,0
6,5,sep,fri,22.9,44,5.4,0,0
6,5,sep,fri,19.6,33,6.3,0,19.23
6,5,sep,fri,18.4,42,2.2,0,1.09
6,5,sep,fri,10.3,78,4,0,18.3
6,5,sep,mon,21.3,42,2.2,0,0
6,5,sep,sat,25.1,27,4,0,1090.84
6,5,sep,sat,21.2,32,2.2,0,0
6,5,sep,sat,19.7,35,1.8,0,0
6,5,sep,sat,16.8,47,4.9,0,12.64
6,5,sep,sat,15.4,57,4.9,0,39.35
6,5,sep,sat,17,67,4.9,0,3.95
6,5,sep,thu,21.6,27,2.2,0,0
6,5,sep,thu,16.8,28,4,0,1.01
6,5,sep,thu,13.7,56,1.8,0,4.42
6,5,sep,tue,21.1,35,2.7,0,5.65
6,5,sep,tue,19.6,45,3.1,0,20.03
6,5,sep,wed,26.4,21,4.5,0,0
6,5,sep,wed,24.3,27,4.9,0,0
6,6,aug,mon,23.9,42,2.2,0,0
6,6,aug,sat,30.8,30,4.9,0,8.59
6,6,jul,mon,23,36,3.1,0,0
7,3,mar,mon,11,46,5.8,0,27.35
7,3,oct,sat,17.8,27,4,0,0
7,4,aug,fri,23.3,34,3.1,0,0
7,4,aug,mon,17.7,65,4,0,0
7,4,aug,sat,19.5,43,5.8,0,0
7,4,aug,sat,23.7,32,5.8,0,0
7,4,aug,sat,5.1,96,5.8,0,26
7,4,aug,sat,23.7,40,1.8,0,1.38
7,4,aug,sat,15.5,72,8,0,1.94
7,4,aug,sun,16.3,60,5.4,0,0
7,4,aug,sun,16.4,47,1.3,0,1.56
7,4,aug,sun,20.1,39,5.4,0,2.74
7,4,aug,sun,21.9,73,7.6,1,0
7,4,aug,sun,19.3,61,4.9,0,0
7,4,aug,sun,21.2,70,6.7,0,11.16
7,4,aug,thu,21.4,38,2.7,0,1.52
7,4,feb,fri,8.2,53,9.4,0,4.62
7,4,feb,mon,7.5,71,6.3,0,9.96
7,4,feb,sun,8.8,68,2.2,0,13.05
7,4,jul,mon,22.6,57,4.9,0,278.53
7,4,jul,sat,22.1,49,2.7,0,0
7,4,jul,sat,24.2,32,1.8,0,0
7,4,jul,sat,24.3,30,1.8,0,0
7,4,jul,sun,18.2,82,4.5,0,2.21
7,4,jun,sun,21,44,4.5,0,0
7,4,mar,mon,16.1,29,3.1,0,1.75
7,4,mar,sun,11.5,60,4,0,8.24
7,4,oct,fri,11.3,60,5.4,0,0
7,4,oct,mon,16.8,45,4.5,0,6.83
7,4,oct,sat,14.6,33,1.3,0,0
7,4,oct,tue,18,33,0.9,0,0
7,4,sep,fri,19,34,5.8,0,0
7,4,sep,fri,19,34,5.8,0,1.69
7,4,sep,fri,20.1,47,4.9,0,26.13
7,4,sep,fri,20.6,43,3.6,0,2.03
7,4,sep,fri,19.8,47,2.7,0,1.72
7,4,sep,fri,18.7,50,2.2,0,5.97
7,4,sep,fri,15.2,64,3.1,0,0.52
7,4,sep,mon,19.4,48,1.3,0,0
7,4,sep,mon,19.3,44,2.2,0,0
7,4,sep,sat,21.5,28,4.5,0,15.64
7,4,sep,sun,17.1,53,5.4,0,0.41
7,4,sep,sun,25.3,27,2.7,0,0
7,4,sep,sun,13.8,77,7.6,0,11.06
7,4,sep,thu,19.4,45,3.6,0,0
7,4,sep,wed,15.4,57,4.5,0,37.71
7,4,sep,wed,10.5,77,4,0,0
7,5,apr,sun,13.4,75,1.8,0,0
7,5,aug,sat,26.4,33,3.6,0,0
7,5,aug,tue,27.3,63,4.9,6.4,10.82
7,5,aug,tue,21.6,65,4.9,0.8,0
7,5,jun,sun,22.2,48,1.3,0,0
7,5,mar,fri,8.2,51,6.7,0,0
7,5,oct,mon,16.1,44,4,0,49.37
7,5,sep,sat,22.8,40,4,0,0
7,5,sep,sat,17.8,51,7.2,0,0
7,5,sep,sat,19.3,38,4,0,0
7,5,sep,tue,20.7,37,2.2,0,17.2
7,6,jul,tue,26.9,28,5.4,0,86.45
7,6,jul,wed,12.6,90,7.6,0.2,0
8,3,jun,mon,14.3,79,4,0,1.94
8,3,sep,thu,23.2,26,4.9,0,23.41
8,3,sep,tue,24.2,28,3.6,0,0.96
8,4,aug,sat,21.3,44,4.5,0,12.18
8,5,aug,wed,26.8,25,3.1,0,0.68
8,5,aug,wed,24,36,3.1,0,0.24
8,5,oct,mon,16.7,47,4.9,0,0
8,5,sep,sun,17.8,67,2.2,0,2.01
8,6,aug,fri,21.2,51,8.9,0,0.61
8,6,aug,fri,20.8,34,4.9,0,6.96
8,6,aug,mon,24.1,27,3.1,0,0
8,6,aug,mon,8,86,2.2,0,0
8,6,aug,mon,23.4,22,2.7,0,0
8,6,aug,mon,21.1,54,2.2,0,0
8,6,aug,mon,26.8,35,1.3,0,0.54
8,6,aug,mon,25.5,29,1.8,0,1.23
8,6,aug,sat,20.1,34,4.5,0,58.3
8,6,aug,sat,16.4,43,4,0,71.3
8,6,aug,sat,23.9,41,2.2,0,8.02
8,6,aug,sat,26.9,31,3.6,0,4.96
8,6,aug,sat,14.2,73,2.7,0,0
8,6,aug,sat,18.9,64,4.9,0,3.32
8,6,aug,sat,18.9,64,4.9,0,0
8,6,aug,sun,22.2,29,5.4,0,0
8,6,aug,sun,20.8,32,6.3,0,0
8,6,aug,sun,18.2,43,4.9,0,0
8,6,aug,sun,16.2,59,3.1,0,32.07
8,6,aug,sun,19.6,41,5.8,0,196.48
8,6,aug,sun,31,27,5.4,0,0
8,6,aug,sun,27.8,35,2.7,0,0
8,6,aug,thu,20.7,45,2.2,0,2.55
8,6,aug,thu,16.2,63,2.7,0,16.33
8,6,aug,thu,21.3,41,3.6,0,0
8,6,aug,thu,27.5,27,4.9,0,746.28
8,6,aug,thu,20.4,56,2.2,0,0
8,6,aug,thu,23.9,38,6.7,0,0
8,6,aug,tue,14.4,66,5.4,0,5.23
8,6,aug,tue,20.1,58,4.5,0,9.27
8,6,aug,tue,21.6,65,4.9,0.8,0
8,6,aug,wed,17.4,50,4,0,2.69
8,6,aug,wed,28.7,28,2.7,0,0
8,6,aug,wed,28.2,29,1.8,0,5.86
8,6,dec,wed,5.1,61,8,0,11.19
8,6,jul,sun,29.3,27,3.6,0,6.3
8,6,jul,tue,17.1,67,3.6,0,6.57
8,6,jun,sun,15.4,45,2.2,0,0
8,6,jun,wed,19.6,43,4.9,0,0
8,6,mar,fri,8.3,97,4,0.2,0
8,6,mar,fri,17.4,24,5.4,0,0
8,6,mar,sun,11.4,99,1.8,0,0
8,6,mar,sun,11.5,39,5.8,0,7.19
8,6,oct,mon,19.1,32,4,0,5.44
8,6,oct,wed,20.2,37,2.7,0,13.7
8,6,sep,fri,20.7,46,2.7,0,30.18
8,6,sep,mon,22.7,35,2.2,0,7.48
8,6,sep,mon,15.7,51,2.2,0,0
8,6,sep,mon,15.9,51,4.5,0,2.18
8,6,sep,sat,17.8,56,1.8,0,1.95
8,6,sep,thu,23.7,25,4.5,0,1.12
8,6,sep,tue,13.1,63,5.4,0,0
8,8,aug,wed,26.2,36,4.5,0,185.76
9,4,jul,mon,22.8,27,4.5,0,1.63
9,4,jul,sat,25.3,39,0.9,0,8
9,4,jun,sat,24.5,50,3.1,0,70.32
9,4,sep,tue,24.3,36,3.1,0,105.66
9,5,jun,wed,28,34,4.5,0,0
9,5,jun,wed,28,34,4.5,0,8.16
9,6,aug,thu,20.5,58,2.7,0,42.87
9,9,aug,fri,25,36,4,0,0
9,9,feb,fri,15.7,43,3.1,0,0
9,9,feb,thu,6.7,79,3.1,0,0
9,9,jul,sun,24.8,29,2.2,0,1.36
9,9,jul,thu,30.2,25,4.5,0,2.75
9,9,jul,tue,18,42,2.7,0,0.36
